net,length_um
_04126_,151.1
_06949_,150.54
net258,150.52
_02521_,149.64
_07929_,149.52
_05620_,149.045
_07948_,148.93
_05313_,148.16
_08047_,148.05
net315,147.5
_05875_,147.04
net289,146.92
_06386_,146.82
_05334_,146.54
_07165_,146.44
_05947_,146.24
_06776_,145.6
_04258_,145.5
_05330_,145.5
net268,145.45
i2c_master._02_,145.445
_07099_,144.94
net50,144.85
_06892_,144.78
_05619_,144.74
net238,143.95
_04195_,143.9
_05939_,143.18
net301,142.72
_05649_,142.64
_07931_,142.46
_05364_,142.28
_06768_,142.24
i2c_master._65_\[14\],142.105
_04394_,142
net167,141.53
_05798_,141.5
_03806_,141.42
net174,141.02
_04598_,140.44
_07797_,139.94
net140,139.58
_03908_,139.54
_05750_,139.4
_04985_,139.275
_06573_,139.06
_05672_,139.04
net305,138.87
net51,138.61
_05707_,138.39
net278,138.32
_03998_,138.2
net71,138.15
_04373_,138
_05651_,137.76
net133,137.675
net191,137.64
net141,137.58
_03752_,137.22
net264,136.86
_03475_,136.78
_07086_,136.78
i2c_master.byte_ctrl._000_,136.52
net52,136.52
_04806_,136.47
_03223_,135.98
net100,135.9
net247,135.55
net266,135.55
_05836_,135.46
net103,135.39
net75,135.26
_05687_,134.79
_04393_,134.4
net316,134.25
net220,133.85
_06763_,133.82
net55,133.6
net290,133.57
net64,133.51
net314,133.13
_05177_,133.03
_07498_,132.84
_05945_,132.69
net249,132.67
_06345_,132.44
_06389_,132.43
i2c_master._65_\[15\],132.42
_07502_,132.4
_03578_,132.24
i2c_master.byte_ctrl.bit_ctrl._017_,132.195
net154,132.04
net222,131.94
net117,131.81
_05702_,131.73
net200,131.3
net236,131.18
_07508_,131.075
i2c_master._65_\[3\],130.84
_04607_,130.5
_06505_,130.48
_07799_,130.42
net199,130.36
net82,130.32
net151,130.32
net288,129.46
net262,128.92
_05039_,128.91
net96,128.65
_05693_,128.6
_05099_,128.52
_04569_,128.42
net292,128.16
net231,127.66
_06969_,127.6
_06043_,127.48
net202,127.32
net122,127.25
_04596_,127.08
net184,126.97
_05141_,126.88
_07637_,126.86
net255,126.65
_04680_,126.56
_04007_,126.51
_04908_,126.48
net312,126.36
net79,126.23
_03604_,126.06
memory._0648_,126.02
net99,125.97
net178,125.95
net24,125.89
net87,125.87
net319,125.78
_03392_,125.52
net272,125.41
_02940_,125.32
_03492_,125.26
_05379_,125.22
_04884_,125.08
net123,124.89
_05683_,124.88
net275,124.56
_04950_,124.475
net294,124.25
_06031_,124.22
_07404_,123.735
net182,123.42
_05142_,123.385
_07805_,123.22
net132,123.13
net91,122.7
_06343_,122.54
net318,122.49
net162,122.35
net193,122.32
_03328_,122.26
net157,122.11
_06353_,122.1
net251,122.04
net105,121.95
_04081_,121.76
net311,121.65
_07794_,121.6
_06377_,121.48
_05208_,121.42
_06123_,121.26
net7,121.02
net196,120.88
memory._0294_\[103\],120.86
_02512_,120.56
memory._0294_\[768\],120.52
_04306_,120.38
_03228_,120.3
memory._0294_\[1272\],120.06
net125,119.97
net39,119.87
_03241_,119.74
clknet_leaf_241_p_clock,119.48
_04534_,119.3
i2c_master._65_\[12\],119.26
net130,119.24
_03993_,119.02
net352,118.98
_07287_,118.92
_084_\[0\],118.86
net219,118.83
net161,118.62
net76,118.53
net183,118.47
_05436_,118.45
_04917_,117.79
net248,117.71
net179,117.6
_02897_,117.475
_05591_,117.28
net62,117.26
_04915_,117
net120,116.97
_05146_,116.7
_084_\[2\],116.615
net230,116.39
net78,116.34
i2c_master._65_\[4\],116.16
net152,116.12
_061_\[4\],116.1
net169,116.07
net43,115.89
net49,115.85
_05501_,115.76
net164,115.6
_02542_,115.54
_04335_,115.46
_04318_,115.34
net298,115.29
net83,115.22
_07291_,115.2
_04055_,115
net253,114.9
_03797_,114.88
net271,114.83
i2c_master._43_,114.68
_04955_,114.67
net106,114.66
net261,114.56
_04942_,114.3
net209,114.08
net113,113.99
_04584_,113.78
_06575_,113.76
net72,113.7
net229,113.18
_02572_,112.88
net282,112.85
_04948_,112.765
i2c_master._65_\[10\],112.75
net144,112.68
net66,112.66
_061_\[3\],112.42
clknet_leaf_224_p_clock,112.24
_084_\[1\],112.09
net284,112.06
_04723_,111.94
net73,111.73
net114,111.7
net68,111.69
_03370_,111.54
_03525_,111.54
_05270_,111.47
net254,111.46
clknet_leaf_73_p_clock,111.32
_03295_,111.24
net304,111.23
_06494_,111.11
net293,111.08
net158,110.94
_04343_,110.56
_04940_,110.44
net307,110.34
_03874_,110.24
i2c_master._65_\[11\],110.045
net90,109.9
_03707_,109.86
net187,109.86
net227,109.86
net37,109.75
clknet_leaf_190_p_clock,109.6
net217,109.52
memory._0296_\[2\],109.36
net81,109.04
net341,109.04
net35,109.01
net156,108.98
net137,108.78
net216,108.69
net287,108.68
net134,108.67
net245,108.63
net33,108.37
net286,108.22
net168,108.13
net34,108.1
_04951_,108.005
net84,107.87
net111,107.74
_07504_,107.5
net243,107.25
_04100_,107.24
clknet_leaf_113_p_clock,107.215
net297,107.21
_05943_,107.12
net29,106.98
net303,106.8
net115,106.74
net256,106.74
net235,106.69
clknet_leaf_252_p_clock,106.64
net295,106.54
_03740_,106.4
i2c_master._65_\[9\],106.315
net210,106.26
net260,106.17
net215,106.05
_02509_,106.04
